"Año","Mes","Arma","Homicidios","Fecha"
"2013","09","OTHER",13,2013-09-01
"2013","10","ARMA BLANCA",38,2013-10-01
"2013","10","ARMA DE FUEGO",68,2013-10-01
"2013","10","OTHER",3,2013-10-01
"2013","11","ARMA BLANCA",33,2013-11-01
"2013","11","OTHER",3,2013-11-01
"2013","11","ARMA DE FUEGO",65,2013-11-01
"2013","12","ARMA BLANCA",51,2013-12-01
"2013","12","ARMA DE FUEGO",72,2013-12-01
"2013","12","OTHER",3,2013-12-01
"2014","01","ARMA BLANCA",39,2014-01-01
"2014","01","ARMA DE FUEGO",53,2014-01-01
"2014","01","OTHER",4,2014-01-01
"2014","02","ARMA DE FUEGO",73,2014-02-01
"2014","02","ARMA BLANCA",29,2014-02-01
"2014","02","OTHER",1,2014-02-01
"2014","03","ARMA DE FUEGO",59,2014-03-01
"2014","03","ARMA BLANCA",48,2014-03-01
"2014","03","OTHER",4,2014-03-01
"2014","04","ARMA DE FUEGO",67,2014-04-01
"2014","04","ARMA BLANCA",32,2014-04-01
"2014","04","OTHER",4,2014-04-01
"2014","05","ARMA DE FUEGO",48,2014-05-01
"2014","05","OTHER",7,2014-05-01
"2014","05","ARMA BLANCA",39,2014-05-01
"2014","06","ARMA BLANCA",44,2014-06-01
"2014","06","ARMA DE FUEGO",62,2014-06-01
"2014","06","OTHER",7,2014-06-01
"2014","07","ARMA DE FUEGO",62,2014-07-01
"2014","07","ARMA BLANCA",40,2014-07-01
"2014","07","OTHER",6,2014-07-01
"2014","08","ARMA BLANCA",45,2014-08-01
"2014","08","ARMA DE FUEGO",72,2014-08-01
"2014","08","OTHER",5,2014-08-01
"2014","09","ARMA BLANCA",39,2014-09-01
"2014","09","ARMA DE FUEGO",54,2014-09-01
"2014","09","OTHER",6,2014-09-01
"2014","10","ARMA DE FUEGO",77,2014-10-01
"2014","10","OTHER",4,2014-10-01
"2014","10","ARMA BLANCA",40,2014-10-01
"2014","11","ARMA BLANCA",40,2014-11-01
"2014","11","ARMA DE FUEGO",76,2014-11-01
"2014","11","OTHER",7,2014-11-01
"2014","12","ARMA BLANCA",59,2014-12-01
"2014","12","ARMA DE FUEGO",76,2014-12-01
"2014","12","OTHER",5,2014-12-01
"2015","01","ARMA DE FUEGO",87,2015-01-01
"2015","01","ARMA BLANCA",28,2015-01-01
"2015","01","OTHER",4,2015-01-01
"2015","02","ARMA BLANCA",37,2015-02-01
"2015","02","ARMA DE FUEGO",57,2015-02-01
"2015","02","OTHER",7,2015-02-01
"2015","03","ARMA DE FUEGO",60,2015-03-01
"2015","03","ARMA BLANCA",34,2015-03-01
"2015","03","OTHER",8,2015-03-01
"2015","04","ARMA DE FUEGO",52,2015-04-01
"2015","04","OTHER",4,2015-04-01
"2015","04","ARMA BLANCA",47,2015-04-01
"2015","05","ARMA BLANCA",45,2015-05-01
"2015","05","ARMA DE FUEGO",70,2015-05-01
"2015","05","OTHER",3,2015-05-01
"2015","06","ARMA BLANCA",35,2015-06-01
"2015","06","ARMA DE FUEGO",67,2015-06-01
"2015","06","OTHER",5,2015-06-01
"2015","07","ARMA DE FUEGO",67,2015-07-01
"2015","07","ARMA BLANCA",36,2015-07-01
"2015","07","OTHER",4,2015-07-01
"2015","08","ARMA BLANCA",49,2015-08-01
"2015","08","ARMA DE FUEGO",59,2015-08-01
"2015","08","OTHER",5,2015-08-01
"2015","09","ARMA DE FUEGO",54,2015-09-01
"2015","09","ARMA BLANCA",37,2015-09-01
"2015","09","OTHER",12,2015-09-01
"2015","10","ARMA BLANCA",36,2015-10-01
"2015","10","ARMA DE FUEGO",67,2015-10-01
"2015","10","OTHER",4,2015-10-01
"2015","11","ARMA BLANCA",45,2015-11-01
"2015","11","ARMA DE FUEGO",60,2015-11-01
"2015","11","OTHER",6,2015-11-01
"2015","12","ARMA BLANCA",63,2015-12-01
"2015","12","ARMA DE FUEGO",80,2015-12-01
"2015","12","OTHER",9,2015-12-01
