"Localidad","Dia","HoraInt","Homicidios"
"Barrios Unidos","viernes","[0-4)",3
"Barrios Unidos","sábado","[8-12)",1
"Barrios Unidos","jueves","[8-12)",3
"Barrios Unidos","viernes","[4-8)",1
"Barrios Unidos","miércoles","[0-4)",2
"Barrios Unidos","miércoles","[8-12)",2
"Barrios Unidos","sábado","[0-4)",2
"Barrios Unidos","domingo","[16-20)",2
"Barrios Unidos","viernes","[16-20)",1
"Barrios Unidos","domingo","[4-8)",1
"Barrios Unidos","domingo","[20-24)",1
"Barrios Unidos","miércoles","[4-8)",2
"Teusaquillo","viernes","[20-24)",3
"Teusaquillo","martes","[0-4)",3
"Teusaquillo","sábado","[8-12)",3
"Teusaquillo","miércoles","[16-20)",4
"Teusaquillo","martes","[20-24)",2
"Teusaquillo","domingo","[8-12)",2
"Teusaquillo","lunes","[16-20)",2
"Teusaquillo","sábado","[16-20)",1
"Teusaquillo","sábado","[4-8)",2
"Teusaquillo","domingo","[20-24)",1
"Teusaquillo","martes","[12- 16)",4
"Teusaquillo","martes","[16-20)",2
"Teusaquillo","viernes","[0-4)",1
"Teusaquillo","lunes","[20-24)",1
"Teusaquillo","viernes","[16-20)",1
"Teusaquillo","miércoles","[12- 16)",2
"Teusaquillo","viernes","[4-8)",1
"Teusaquillo","domingo","[0-4)",2
"Teusaquillo","lunes","[12- 16)",2
"Teusaquillo","viernes","[12- 16)",3
"Teusaquillo","lunes","[8-12)",1
"Teusaquillo","jueves","[8-12)",3
"Teusaquillo","martes","[8-12)",3
"Teusaquillo","jueves","[20-24)",2
"Teusaquillo","viernes","[8-12)",1
"Teusaquillo","miércoles","[20-24)",1
"Teusaquillo","jueves","[12- 16)",1
"Teusaquillo","miércoles","[0-4)",2
"Los Martires","jueves","[0-4)",6
"Los Martires","lunes","[8-12)",8
"Los Martires","jueves","[20-24)",16
"Los Martires","miércoles","[0-4)",6
"Los Martires","domingo","[8-12)",6
"Los Martires","lunes","[20-24)",15
"Los Martires","viernes","[20-24)",20
"Los Martires","miércoles","[4-8)",3
"Los Martires","viernes","[0-4)",11
"Los Martires","jueves","[16-20)",13
"Los Martires","lunes","[4-8)",12
"Los Martires","miércoles","[20-24)",18
"Los Martires","jueves","[12- 16)",8
"Los Martires","sábado","[12- 16)",8
"Los Martires","martes","[20-24)",12
"Los Martires","miércoles","[12- 16)",10
"Los Martires","sábado","[0-4)",16
"Los Martires","viernes","[4-8)",5
"Los Martires","martes","[12- 16)",10
"Los Martires","viernes","[8-12)",5
"Los Martires","domingo","[16-20)",10
"Los Martires","jueves","[8-12)",4
"Los Martires","jueves","[4-8)",7
"Los Martires","lunes","[0-4)",7
"Los Martires","sábado","[4-8)",7
"Los Martires","lunes","[16-20)",7
"Los Martires","domingo","[20-24)",11
"Los Martires","miércoles","[16-20)",8
"Los Martires","martes","[16-20)",8
"Los Martires","sábado","[16-20)",4
"Los Martires","martes","[4-8)",9
"Los Martires","viernes","[16-20)",5
"Los Martires","sábado","[8-12)",3
"Los Martires","domingo","[12- 16)",2
"Los Martires","viernes","[12- 16)",6
"Los Martires","miércoles","[8-12)",9
"Los Martires","sábado","[20-24)",6
"Los Martires","domingo","[4-8)",4
"Los Martires","lunes","[12- 16)",4
"Los Martires","domingo","[0-4)",6
"Los Martires","martes","[0-4)",5
"Los Martires","martes","[8-12)",1
"Antonio Narino","sábado","[8-12)",1
"Antonio Narino","domingo","[0-4)",1
"Antonio Narino","domingo","[20-24)",1
"Antonio Narino","jueves","[20-24)",2
"Antonio Narino","lunes","[16-20)",4
"Antonio Narino","sábado","[20-24)",3
"Antonio Narino","viernes","[4-8)",3
"Antonio Narino","domingo","[8-12)",2
"Antonio Narino","viernes","[12- 16)",4
"Antonio Narino","miércoles","[4-8)",1
"Antonio Narino","domingo","[12- 16)",1
"Antonio Narino","viernes","[0-4)",2
"Antonio Narino","sábado","[0-4)",14
"Antonio Narino","sábado","[4-8)",2
"Antonio Narino","miércoles","[20-24)",2
"Antonio Narino","jueves","[0-4)",5
"Antonio Narino","martes","[8-12)",3
"Antonio Narino","miércoles","[0-4)",2
"Antonio Narino","lunes","[12- 16)",2
"Antonio Narino","martes","[0-4)",2
"Antonio Narino","martes","[20-24)",2
"Antonio Narino","martes","[16-20)",3
"Antonio Narino","viernes","[20-24)",4
"Antonio Narino","jueves","[12- 16)",1
"Antonio Narino","viernes","[16-20)",1
"Antonio Narino","miércoles","[12- 16)",4
"Antonio Narino","miércoles","[8-12)",1
"Antonio Narino","jueves","[16-20)",3
"Antonio Narino","martes","[4-8)",1
"Antonio Narino","lunes","[20-24)",1
"Antonio Narino","miércoles","[16-20)",1
"Puente Aranda","viernes","[16-20)",6
"Puente Aranda","domingo","[4-8)",4
"Puente Aranda","miércoles","[20-24)",10
"Puente Aranda","viernes","[20-24)",9
"Puente Aranda","sábado","[0-4)",10
"Puente Aranda","viernes","[8-12)",1
"Puente Aranda","miércoles","[12- 16)",5
"Puente Aranda","lunes","[0-4)",3
"Puente Aranda","sábado","[8-12)",5
"Puente Aranda","jueves","[12- 16)",3
"Puente Aranda","viernes","[12- 16)",2
"Puente Aranda","domingo","[12- 16)",5
"Puente Aranda","martes","[20-24)",2
"Puente Aranda","jueves","[16-20)",6
"Puente Aranda","domingo","[20-24)",3
"Puente Aranda","jueves","[8-12)",1
"Puente Aranda","jueves","[0-4)",5
"Puente Aranda","lunes","[12- 16)",7
"Puente Aranda","martes","[12- 16)",6
"Puente Aranda","jueves","[20-24)",7
"Puente Aranda","miércoles","[8-12)",3
"Puente Aranda","lunes","[16-20)",3
"Puente Aranda","sábado","[20-24)",4
"Puente Aranda","sábado","[12- 16)",4
"Puente Aranda","domingo","[16-20)",2
"Puente Aranda","domingo","[0-4)",1
"Puente Aranda","miércoles","[16-20)",3
"Puente Aranda","viernes","[0-4)",7
"Puente Aranda","martes","[0-4)",1
"Puente Aranda","lunes","[4-8)",1
"Puente Aranda","sábado","[4-8)",9
"Puente Aranda","miércoles","[4-8)",3
"Puente Aranda","lunes","[8-12)",2
"Puente Aranda","martes","[8-12)",1
"Puente Aranda","sábado","[16-20)",4
"Puente Aranda","domingo","[8-12)",4
"Puente Aranda","miércoles","[0-4)",5
"Puente Aranda","lunes","[20-24)",6
"Puente Aranda","martes","[16-20)",3
"Puente Aranda","viernes","[4-8)",1
"La Candelaria","viernes","[12- 16)",1
"La Candelaria","miércoles","[4-8)",1
"La Candelaria","viernes","[8-12)",3
"La Candelaria","miércoles","[8-12)",1
"La Candelaria","miércoles","[20-24)",1
"La Candelaria","sábado","[4-8)",1
"La Candelaria","domingo","[16-20)",1
"La Candelaria","sábado","[0-4)",1
"La Candelaria","lunes","[4-8)",1
"La Candelaria","sábado","[20-24)",1
"La Candelaria","domingo","[8-12)",1
"La Candelaria","sábado","[8-12)",1
"La Candelaria","martes","[16-20)",1
"Rafael Uribe Uribe","jueves","[8-12)",7
"Rafael Uribe Uribe","lunes","[16-20)",10
"Rafael Uribe Uribe","sábado","[0-4)",72
"Rafael Uribe Uribe","viernes","[16-20)",15
"Rafael Uribe Uribe","miércoles","[16-20)",20
"Rafael Uribe Uribe","domingo","[16-20)",13
"Rafael Uribe Uribe","sábado","[20-24)",28
"Rafael Uribe Uribe","miércoles","[0-4)",15
"Rafael Uribe Uribe","viernes","[0-4)",19
"Rafael Uribe Uribe","viernes","[20-24)",36
"Rafael Uribe Uribe","sábado","[4-8)",45
"Rafael Uribe Uribe","sábado","[12- 16)",13
"Rafael Uribe Uribe","martes","[0-4)",8
"Rafael Uribe Uribe","lunes","[0-4)",11
"Rafael Uribe Uribe","jueves","[16-20)",11
"Rafael Uribe Uribe","viernes","[8-12)",9
"Rafael Uribe Uribe","jueves","[20-24)",24
"Rafael Uribe Uribe","viernes","[4-8)",14
"Rafael Uribe Uribe","sábado","[8-12)",17
"Rafael Uribe Uribe","viernes","[12- 16)",9
"Rafael Uribe Uribe","domingo","[4-8)",10
"Rafael Uribe Uribe","martes","[16-20)",15
"Rafael Uribe Uribe","miércoles","[8-12)",9
"Rafael Uribe Uribe","jueves","[4-8)",7
"Rafael Uribe Uribe","martes","[20-24)",13
"Rafael Uribe Uribe","lunes","[12- 16)",12
"Rafael Uribe Uribe","lunes","[20-24)",18
"Rafael Uribe Uribe","miércoles","[12- 16)",2
"Rafael Uribe Uribe","martes","[12- 16)",14
"Rafael Uribe Uribe","jueves","[12- 16)",4
"Rafael Uribe Uribe","sábado","[16-20)",18
"Rafael Uribe Uribe","lunes","[8-12)",4
"Rafael Uribe Uribe","domingo","[20-24)",16
"Rafael Uribe Uribe","lunes","[4-8)",4
"Rafael Uribe Uribe","jueves","[0-4)",11
"Rafael Uribe Uribe","miércoles","[4-8)",4
"Rafael Uribe Uribe","domingo","[8-12)",4
"Rafael Uribe Uribe","domingo","[0-4)",20
"Rafael Uribe Uribe","miércoles","[20-24)",21
"Rafael Uribe Uribe","domingo","[12- 16)",3
"Rafael Uribe Uribe","martes","[4-8)",1
"Rafael Uribe Uribe","martes","[8-12)",1
"Ciudad Bolivar","jueves","[0-4)",29
"Ciudad Bolivar","jueves","[8-12)",18
"Ciudad Bolivar","jueves","[12- 16)",14
"Ciudad Bolivar","jueves","[16-20)",48
"Ciudad Bolivar","viernes","[16-20)",40
"Ciudad Bolivar","viernes","[8-12)",26
"Ciudad Bolivar","domingo","[0-4)",42
"Ciudad Bolivar","martes","[20-24)",52
"Ciudad Bolivar","sábado","[0-4)",166
"Ciudad Bolivar","lunes","[4-8)",12
"Ciudad Bolivar","miércoles","[16-20)",38
"Ciudad Bolivar","jueves","[20-24)",52
"Ciudad Bolivar","sábado","[4-8)",85
"Ciudad Bolivar","sábado","[8-12)",31
"Ciudad Bolivar","domingo","[12- 16)",16
"Ciudad Bolivar","lunes","[20-24)",45
"Ciudad Bolivar","martes","[16-20)",32
"Ciudad Bolivar","martes","[0-4)",16
"Ciudad Bolivar","miércoles","[20-24)",54
"Ciudad Bolivar","jueves","[4-8)",22
"Ciudad Bolivar","sábado","[16-20)",63
"Ciudad Bolivar","viernes","[20-24)",111
"Ciudad Bolivar","sábado","[20-24)",99
"Ciudad Bolivar","viernes","[4-8)",23
"Ciudad Bolivar","miércoles","[0-4)",22
"Ciudad Bolivar","viernes","[0-4)",42
