"Localidad","Dia","HoraInt","Homicidios"
"Kennedy","lunes","[12- 16)",20
"Fontibon","miércoles","[16-20)",4
"Fontibon","viernes","[0-4)",6
"Fontibon","sábado","[0-4)",13
"Fontibon","jueves","[20-24)",4
"Fontibon","viernes","[20-24)",7
"Fontibon","domingo","[16-20)",1
"Fontibon","lunes","[0-4)",4
"Fontibon","domingo","[8-12)",3
"Fontibon","lunes","[4-8)",1
"Fontibon","viernes","[16-20)",4
"Fontibon","jueves","[8-12)",4
"Fontibon","sábado","[4-8)",9
"Fontibon","martes","[20-24)",11
"Fontibon","sábado","[12- 16)",4
"Fontibon","jueves","[12- 16)",2
"Fontibon","lunes","[16-20)",4
"Fontibon","sábado","[16-20)",5
"Fontibon","martes","[12- 16)",2
"Fontibon","sábado","[20-24)",5
"Fontibon","martes","[8-12)",1
"Fontibon","miércoles","[20-24)",6
"Fontibon","jueves","[4-8)",3
"Fontibon","lunes","[20-24)",4
"Fontibon","martes","[0-4)",1
"Fontibon","domingo","[12- 16)",3
"Fontibon","lunes","[12- 16)",3
"Fontibon","miércoles","[4-8)",2
"Fontibon","domingo","[0-4)",3
"Fontibon","martes","[16-20)",5
"Fontibon","martes","[4-8)",3
"Fontibon","viernes","[8-12)",1
"Fontibon","sábado","[8-12)",3
"Fontibon","lunes","[8-12)",1
"Fontibon","miércoles","[8-12)",2
"Fontibon","jueves","[16-20)",3
"Fontibon","miércoles","[0-4)",1
"Fontibon","viernes","[12- 16)",2
"Fontibon","domingo","[20-24)",3
"Fontibon","viernes","[4-8)",1
"Fontibon","domingo","[4-8)",1
"Fontibon","jueves","[0-4)",1
